Capital IQ Company Screening Report,,,,,,,,,,,,
,,,,,,,,,,,,
Company Name,Exchange:Ticker,Industry Classifications,Company Type,P/LTM Diluted EPS Before Extra [Latest] (x),"Day Close Price [Latest] (SGD, Historical rate)",P/BV [Latest] (x),"Total Revenues, 3 Yr CAGR % [LTM] (%)",Return on Equity % [LTM],Current Ratio [LTM],EBITDA Margin % [LTM],Total Asset Turnover [Latest Annual],Total Debt/Capital % [Latest Annual]
"Xinjiang Tianye Co.,Ltd. (SHSE:600075)",SHSE:600075,Commodity Chemicals (Primary),Public Company, 7.57 , 1.5 , 1.33 , 31.2 , 20.3 , 1.01 , 23.0 , 0.631 , 38.0 
"Xinjiang Xuefeng Sci-Tech (Group) Co., Ltd. (SHSE:603227)",SHSE:603227,Commodity Chemicals (Primary),Public Company, 21.5 , 1.06 , 2.43 , 18.8 , 11.8 , 1.29 , 15.4 , 0.565 , 26.7 
"Xinjiang Zhongtai Chemical Co., Ltd. (SZSE:002092)",SZSE:002092,Commodity Chemicals (Primary),Public Company, 24.6 , 2.03 , 1.06 , 26.6 , 3.58 , 0.755 , 4.81 , 1.35 , 52.7 
"Xinxiang Chemical Fiber Co., Ltd. (SZSE:000949)",SZSE:000949,Commodity Chemicals (Primary),Public Company, 25.0 , 1.44 , 2.08 , 8.96 , 8.68 , 1.25 , 20.2 , 0.529 , 51.4 
"Yamato Industry Co., Ltd. (JASDAQ:7886)",JASDAQ:7886,Commodity Chemicals (Primary),Public Company,NM, 8.24 , 0.51 , (3.99)  , (35.5)  , 1.49 , (2.01)  , 1.44 , 76.5 
Yanbu National Petrochemical Company (SASE:2290),SASE:2290,Commodity Chemicals (Primary),Public Company, 39.7 , 25.44 , 2.67 , (8.45)  , 6.61 , 3.16 , 39.1 , 0.284 , 0.968 
"Yangzhou Chenhua New Material Co., Ltd. (SZSE:300610)",SZSE:300610,Commodity Chemicals (Primary),Public Company, 15.5 , 2.56 , 2.62 , 12.2 , 17.1 , 3.73 , 18.7 , 0.821 , 0.544 
"YeSUN Tech Co.,Ltd. (KOSDAQ:A250930)",KOSDAQ:A250930,Commodity Chemicals (Primary),Public Company, 34.0 , 3.43 , 2.45 ,-, 7.32 , 2.6 , 7.96 , 0.966 , 38.4 
"Yibin Tianyuan Group Co., Ltd. (SZSE:002386)",SZSE:002386,Commodity Chemicals (Primary),Public Company, 28.0 , 2.0 , 1.45 , 12.5 , 5.01 , 0.689 , 4.51 , 1.52 , 57.9 
Yip's Chemical Holdings Limited (SEHK:408),SEHK:408,Commodity Chemicals (Primary),Public Company, 8.16 , 0.761 , 0.717 , 1.58 , 10.4 , 1.78 , 7.44 , 1.33 , 29.0 
"Yiwu Huading Nylon Co.,Ltd. (SHSE:601113)",SHSE:601113,Commodity Chemicals (Primary),Public Company,NM, 0.869 , 1.1 , 51.2 , (2.95)  , 1.88 , 5.9 , 1.3 , 23.3 
"Yong Shun Chemical Co., Ltd (TPEX:4711)",TPEX:4711,Commodity Chemicals (Primary),Public Company, 16.4 , 0.914 , 1.01 , (9.29)  , 6.24 , 4.78 , 9.08 , 0.594 , 7.65 
"Yonggao Co., Ltd. (SZSE:002641)",SZSE:002641,Commodity Chemicals (Primary),Public Company, 9.1 , 1.36 , 1.73 , 18.5 , 19.6 , 1.63 , 14.2 , 1.06 , 1.64 
"Yongyue Science&Technology Co.,Ltd (SHSE:603879)",SHSE:603879,Commodity Chemicals (Primary),Public Company, 217.3 , 1.76 , 4.43 , (6.84)  , 2.25 , 10.4 , 1.39 , 0.697 , 1.84 
"Yuanli Chemical Group Co.,Ltd. (SHSE:603217)",SHSE:603217,Commodity Chemicals (Primary),Public Company, 16.7 , 5.81 , 1.52 ,-, 9.36 , 4.24 , 21.3 , 0.483 ,-
"Yueyang Xingchang Petro-Chemical Co., Ltd. (SZSE:000819)",SZSE:000819,Commodity Chemicals (Primary),Public Company, 38.2 , 1.28 , 2.19 , (3.38)  , 5.49 , 5.49 , 4.14 , 1.49 , 0.914 
"Yung Chi Paint & Varnish Mfg.Co.,Ltd (TWSE:1726)",TWSE:1726,Commodity Chemicals (Primary),Public Company, 13.0 , 3.6 , 1.33 , 0.843 , 10.6 , 5.91 , 14.9 , 0.796 , 0.31 
"Yunnan Coal & Energy Co., Ltd. (SHSE:600792)",SHSE:600792,Commodity Chemicals (Primary),Public Company, 36.8 , 0.876 , 1.2 , 1.14 , 3.32 , 1.58 , 7.37 , 0.844 , 19.0 
"Yunnan Malong Industry Group Co., Ltd.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Yusei Holdings Limited (SEHK:96),SEHK:96,Commodity Chemicals (Primary),Public Company, 10.3 , 0.18 , 0.743 , 1.84 , 7.37 , 1.07 , 9.78 , 0.85 , 28.6 
Zangan Electrical Equipment Co.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Zanyu Technology Group Co., Ltd. (SZSE:002637)",SZSE:002637,Commodity Chemicals (Primary),Public Company, 14.6 , 3.0 , 1.94 , 8.81 , 12.6 , 1.27 , 10.5 , 1.12 , 33.7 
Zeon Corporation (TSE:4205),TSE:4205,Commodity Chemicals (Primary),Public Company, 12.0 , 18.61 , 1.13 , (3.18)  , 9.98 , 2.05 , 17.0 , 0.707 , 5.98 
"Zhejiang Double Arrow Rubber Co., Ltd. (SZSE:002381)",SZSE:002381,Commodity Chemicals (Primary),Public Company, 10.4 , 1.69 , 1.65 , 17.5 , 16.5 , 2.86 , 21.8 , 0.727 ,-
"Zhejiang Hailide New Material Co.,Ltd (SZSE:002206)",SZSE:002206,Commodity Chemicals (Primary),Public Company, 21.0 , 1.25 , 2.3 , 4.03 , 11.2 , 1.04 , 16.5 , 0.614 , 39.3 
"ZheJiang HuaSheng Technology Co.,Ltd (SHSE:605180)",SHSE:605180,Commodity Chemicals (Primary),Public Company, 18.5 , 7.22 , 4.93 ,-, 30.4 , 4.95 , 36.5 , 0.783 , 0.207 
"Zhejiang Jiaao Enprotech Stock Co., Ltd (SHSE:603822)",SHSE:603822,Commodity Chemicals (Primary),Public Company, 39.0 , 5.65 , 2.36 , 13.4 , 6.41 , 1.24 , 10.5 , 0.684 , 54.6 
"Zhejiang Jiahua Energy Chemical Industry Co.,Ltd. (SHSE:600273)",SHSE:600273,Commodity Chemicals (Primary),Public Company, 8.65 , 1.75 , 1.44 , 2.45 , 18.2 , 1.44 , 34.8 , 0.592 , 5.46 
"Zhejiang Jianye Chemical Co., Ltd. (SHSE:603948)",SHSE:603948,Commodity Chemicals (Primary),Public Company, 19.8 , 3.97 , 2.08 ,-, 10.9 , 2.81 , 9.64 , 1.15 ,-
"Zhejiang Jinlei Refractories Co.,Ltd.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Zhejiang Juhua Co., Ltd. (SHSE:600160)",SHSE:600160,Commodity Chemicals (Primary),Public Company, 224.0 , 1.83 , 1.9 , 2.79 , 0.865 , 2.25 , 4.49 , 1.03 , 4.65 
"Zhejiang Runyang New Material Technology Co., Ltd. (SZSE:300920)",SZSE:300920,Commodity Chemicals (Primary),Public Company, 22.4 , 7.25 , 3.08 ,-,-, 5.07 , 34.1 , 0.488 , 4.99 
"Zhejiang Sanmei Chemical Industry Co., Ltd. (SHSE:603379)",SHSE:603379,Commodity Chemicals (Primary),Public Company, 57.5 , 3.59 , 2.08 ,-, 3.66 , 10.7 , 10.4 , 0.507 ,-
"Zhejiang Sanwei Rubber Item Co., Ltd. (SHSE:603033)",SHSE:603033,Commodity Chemicals (Primary),Public Company, 45.4 , 4.17 , 3.9 , 28.2 , 8.3 , 1.67 , 21.2 , 0.377 , 31.8 
"Zhejiang Satellite Petrochemical Co., Ltd. (SZSE:002648)",SZSE:002648,Commodity Chemicals (Primary),Public Company, 23.8 , 7.34 , 4.19 , 16.7 , 20.1 , 1.84 , 26.8 , 0.429 , 47.2 
"Zhejiang Tiantie Industry Co., Ltd. (SZSE:300587)",SZSE:300587,Commodity Chemicals (Primary),Public Company, 27.1 , 4.63 , 4.64 , 63.9 , 19.2 , 2.08 , 31.3 , 0.465 , 26.6 
"Zhejiang Wansheng Co., Ltd. (SHSE:603010)",SHSE:603010,Commodity Chemicals (Primary),Public Company, 17.8 , 4.32 , 5.5 , 26.6 , 36.1 , 2.15 , 25.9 , 1.04 , 18.0 
"Zhejiang Xinhua Chemical Co.,Ltd (SHSE:603867)",SHSE:603867,Commodity Chemicals (Primary),Public Company, 14.8 , 5.29 , 2.31 , 8.01 , 17.2 , 1.86 , 14.0 , 0.981 , 10.9 
"Zhejiang Zhongcheng Packing Material Co., Ltd. (SZSE:002522)",SZSE:002522,Commodity Chemicals (Primary),Public Company, 27.5 , 1.21 , 2.69 , 30.2 , 8.01 , 1.56 , 23.0 , 0.437 , 31.8 
"Zhuzhou Times New Material Technology Co., Ltd. (SHSE:600458)",SHSE:600458,Commodity Chemicals (Primary),Public Company, 15.9 , 1.73 , 1.38 , 12.8 , 8.29 , 1.25 , 6.15 , 0.956 , 26.1 
Zotefoams plc (LSE:ZTF),LSE:ZTF,Commodity Chemicals (Primary),Public Company, 31.8 , 8.63 , 2.37 , 5.62 , 7.79 , 1.74 , 17.7 , 0.552 , 31.8 
Zymergen Inc. (NasdaqGS:ZY),NasdaqGS:ZY,Commodity Chemicals (Primary),Public Company,NM, 59.78 ,NM,-,-, 3.47 ,-, 0.05 , 33.6 
